phenotype	dds_rds	contrast	leave_out_study
Atrophy	./results/dds_by_phenotype/Atrophy/dds_Atrophy.rds	Condition,atrophy_post,atrophy_pre	GSE186045
Atrophy	./results/dds_by_phenotype/Atrophy/dds_Atrophy.rds	Condition,atrophy_post,atrophy_pre	GSE224900
Atrophy	./results/dds_by_phenotype/Atrophy/dds_Atrophy.rds	Condition,atrophy_post,atrophy_pre	GSE211204
Atrophy	./results/dds_by_phenotype/Atrophy/dds_Atrophy.rds	Condition,atrophy_post,atrophy_pre	GSE271607
Atrophy	./results/dds_by_phenotype/Atrophy/dds_Atrophy.rds	Condition,atrophy_post,atrophy_pre	GSE271606
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE137832
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE144133
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE151066
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE163356
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	PRJNA732106
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE195585
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE221894
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE302582
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE252357
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE277819
Exercise	./results/dds_by_phenotype/Exercise/dds_Exercise.rds	Condition,exercise_post,exercise_pre	GSE108643
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE144304
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE159217
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE164471
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE174106
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE242202
Ageing	./results/dds_by_phenotype/Ageing/dds_Ageing.rds	Condition,ageing_old,ageing_young	GSE129643
